login_id,account_id,ip_address,device_id,country,login_result,created_at
LG00001,ACC0001,10.0.0.0,dev_ACC0001,US,SUCCESS,2026-05-01 09:40:00
LG00002,ACC0001,10.0.0.0,dev_ACC0001,US,SUCCESS,2026-05-01 10:30:00
LG00003,ACC0001,10.0.0.0,dev_ACC0001,US,SUCCESS,2026-05-01 11:20:00
LG00004,ACC0001,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 05:20:00
LG00005,ACC0001,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 05:21:00
LG00006,ACC0001,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 05:22:00
LG00007,ACC0001,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 05:23:00
LG00008,ACC0001,203.0.113.7,dev_attacker,NG,SUCCESS,2026-05-15 05:24:00
LG00009,ACC0002,10.0.0.1,dev_ACC0002,US,SUCCESS,2026-05-01 09:40:00
LG00010,ACC0002,10.0.0.1,dev_ACC0002,US,SUCCESS,2026-05-01 10:30:00
LG00011,ACC0002,10.0.0.1,dev_ACC0002,US,SUCCESS,2026-05-01 11:20:00
LG00012,ACC0002,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 07:00:00
LG00013,ACC0002,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 07:01:00
LG00014,ACC0002,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 07:02:00
LG00015,ACC0002,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 07:03:00
LG00016,ACC0002,203.0.113.7,dev_attacker,NG,SUCCESS,2026-05-15 07:04:00
LG00017,ACC0003,10.0.0.2,dev_ACC0003,US,SUCCESS,2026-05-01 09:40:00
LG00018,ACC0003,10.0.0.2,dev_ACC0003,US,SUCCESS,2026-05-01 10:30:00
LG00019,ACC0003,10.0.0.2,dev_ACC0003,US,SUCCESS,2026-05-01 11:20:00
LG00020,ACC0003,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 08:40:00
LG00021,ACC0003,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 08:41:00
LG00022,ACC0003,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 08:42:00
LG00023,ACC0003,203.0.113.7,dev_attacker,NG,FAILURE,2026-05-15 08:43:00
LG00024,ACC0003,203.0.113.7,dev_attacker,NG,SUCCESS,2026-05-15 08:44:00
