transaction_id,account_id,card_fingerprint,merchant_id,merchant_category,transaction_amount,currency,auth_result,decline_reason,ip_address,device_id,bin_country,is_card_present,created_at
TX00001,ACC0001,card_30bae3b4b7a2,MERCH004,CHARITY,160.66,USD,APPROVED,,10.0.108.238,dev_ACC0001,GB,False,2026-05-13 09:30:00
TX00002,ACC0001,card_30bae3b4b7a2,MERCH008,GROCERY,122.70,USD,APPROVED,,10.0.191.113,dev_ACC0001,GB,False,2026-05-15 12:28:00
TX00003,ACC0001,card_30bae3b4b7a2,MERCH004,GROCERY,71.29,USD,APPROVED,,10.0.117.151,dev_ACC0001,GB,False,2026-05-12 14:46:00
TX00004,ACC0002,card_18a25fac3779,MERCH004,TRAVEL,72.54,USD,APPROVED,,10.0.169.19,dev_ACC0002,CA,False,2026-05-04 00:18:00
TX00005,ACC0002,card_18a25fac3779,MERCH008,GAMING,68.20,USD,APPROVED,,10.0.242.63,dev_ACC0002,CA,False,2026-05-23 10:12:00
TX00006,ACC0003,card_3ebd09c3f28a,MERCH008,CHARITY,33.59,USD,APPROVED,,10.0.216.106,dev_ACC0003,GB,False,2026-05-05 15:01:00
TX00007,ACC0003,card_3ebd09c3f28a,MERCH007,CHARITY,203.64,USD,APPROVED,,10.0.50.16,dev_ACC0003,GB,False,2026-05-03 19:10:00
TX00008,ACC0003,card_3ebd09c3f28a,MERCH008,DIGITAL_GOODS,241.17,USD,APPROVED,,10.0.98.49,dev_ACC0003,GB,False,2026-05-16 18:36:00
TX00009,ACC0004,card_0558751a0689,MERCH002,GROCERY,87.17,USD,APPROVED,,10.0.38.114,dev_ACC0004,DE,False,2026-05-09 16:25:00
TX00010,ACC0004,card_0558751a0689,MERCH007,GAMING,251.63,USD,APPROVED,,10.0.121.43,dev_ACC0004,DE,False,2026-05-25 22:27:00
TX00011,ACC0004,card_0558751a0689,MERCH007,GROCERY,68.06,USD,APPROVED,,10.0.30.43,dev_ACC0004,DE,False,2026-05-23 05:46:00
TX00012,ACC0004,card_0558751a0689,MERCH007,CHARITY,83.23,USD,APPROVED,,10.0.232.74,dev_ACC0004,DE,False,2026-05-19 02:26:00
TX00013,ACC0004,card_0558751a0689,MERCH004,GROCERY,200.25,USD,APPROVED,,10.0.97.76,dev_ACC0004,DE,False,2026-05-26 15:02:00
TX00014,ACC0005,card_42f40d2292e0,MERCH008,ELECTRONICS,22.98,USD,APPROVED,,10.0.25.150,dev_ACC0005,DE,False,2026-05-26 00:13:00
